highstreet_id,convenience,hairdresser,clothes,bakery,beauty,supermarket,dry_cleaning,bookmaker,newsagent,charity,count_lq_cluster,count
567,0.824,0.685,0.404,1.82,1.379,2.68,1.239,4.141,0,1.775,6,Six
576,1.567,1.273,0.268,0,1.282,0.83,2.138,1.283,0.223,1.414,6,Six
587,0.52,1.082,1.022,0.575,0.871,1.128,1.956,1.744,2.124,0.561,6,Six
589,1.562,1.595,0,2.824,0.713,0,2.563,1.428,3.479,0.918,6,Six
597,1.532,1.912,0.282,1.269,0,0,1.728,1.926,1.173,0,6,Six
609,1.248,1.308,0.074,1.654,0.752,1.462,1.351,2.259,0.917,0.968,6,Six
610,0.807,1.511,0.238,2.141,1.623,0.525,1.457,0.812,1.484,2.088,6,Six
611,0.754,1.375,0.598,1.153,1.311,0.755,1.047,0.875,1.421,1.125,6,Six
9,0.338,1.549,0.831,0,1.984,0.734,1.018,0.567,2.073,4.377,5,Five
39,0.175,1.312,0,2.323,0.88,0.57,0.791,2.643,1.073,6.798,5,Five
56,1.647,2.055,0.404,0,2.069,0,2.477,2.761,0,0,5,Five
57,0.588,1.101,0.433,1.95,2.956,0.957,1.327,1.479,0,0,5,Five
88,2.246,2.336,0,2.481,0,0,1.689,1.882,0,0,5,Five
94,0.445,2.222,0.656,0,1.678,0,2.009,0,2.727,1.439,5,Five
96,0.392,1.468,0.578,2.599,0,2.552,0,1.972,0,2.536,5,Five
97,0.958,0.956,0.564,1.269,1.444,3.116,1.728,0.963,1.173,0,5,Five
156,1.647,1.37,0,0,2.759,3.573,0,2.761,0,0,5,Five
161,0.61,1.523,0,0,2.299,0.993,0,3.067,3.737,3.944,5,Five
165,0.549,2.741,0,0,1.379,1.787,2.477,0,3.363,0,5,Five
167,0.392,0.979,1.156,2.599,1.971,1.276,3.539,0,0,0,5,Five
171,1.113,1.111,0,1.475,0,0.724,0,1.119,1.363,0,5,Five
187,1.029,1.285,0,0,1.293,0,2.322,0,0,6.656,5,Five
199,2.059,0.771,0.303,1.365,0.517,0,0.929,1.035,1.261,1.331,5,Five
206,1.336,0.833,1.312,2.951,1.118,1.449,0,0,0,0,5,Five
228,1.123,1.09,0.368,0.827,1.881,0.406,1.689,2.51,0.764,0.807,5,Five
234,0.634,1.581,0,0,2.653,0.687,0.953,2.124,1.294,2.731,5,Five
284,0.889,1.533,0.616,1.386,0.788,1.021,0.59,1.446,0.961,1.183,5,Five
288,1.146,1.43,0,1.424,1.259,0.699,0.646,1.08,0.439,0.926,5,Five
289,0.558,1.132,0.514,0.925,1.052,1.363,1.26,1.404,0.428,0.451,5,Five
294,1.153,0.822,0.243,4.367,1.241,0,0.743,0.828,1.009,1.065,5,Five
307,0.882,0.734,0,3.899,0.739,0.957,1.327,1.479,3.603,3.804,5,Five
338,1.029,1.927,0,3.412,0,3.35,0,0,0,3.328,5,Five
347,0.627,1.175,0.924,1.04,2.168,0.51,0.708,2.366,0.961,2.536,5,Five
357,2.574,0.642,0.758,3.412,1.293,0,4.645,2.588,0,0,5,Five
370,0.433,1.082,0,5.746,2.178,4.232,0,2.179,0,0,5,Five
371,0.915,0.761,0,0,1.533,0.993,1.376,3.067,1.868,1.972,5,Five
375,1.569,1.958,0,0,0,0,1.77,1.972,2.402,0,5,Five
391,1.716,1.713,0,4.549,0.862,0,1.548,0,0,2.219,5,Five
396,0.672,1.049,0.495,0,1.689,2.735,0.758,1.69,0,1.087,5,Five
426,1.471,1.101,0.433,1.95,1.478,0.957,0,0,0,1.902,5,Five
430,1.136,0.945,0.279,1.255,0.476,1.232,0.854,2.38,0.58,1.224,5,Five
431,1.647,1.37,0,0,1.379,0,2.477,0,3.363,0,5,Five
434,1.81,1.242,0.133,0,1.364,0.295,2.042,2.275,0.554,0.585,5,Five
450,1.471,1.101,0,0,1.478,0.957,1.327,0,1.802,0,5,Five
455,0.958,0.956,0,1.269,1.925,0,1.728,0,1.173,1.238,5,Five
475,0.412,1.542,0,2.729,3.104,0,1.858,0,2.522,0,5,Five
479,0.588,1.468,0,0,3.695,0.957,2.654,1.479,0,1.902,5,Five
489,0.969,2.116,0,0,0.609,2.365,2.186,1.218,1.484,0,5,Five
508,0.918,1.202,1.014,1.216,1.153,0.523,0.828,0.923,0.281,1.038,5,Five
